weapon,gender,threshold,recall,precision,n_seeds,n_finishers,n_events
All,All,8,0.43455497382198954,0.4322916666666667,191,192,24
All,All,16,0.49343832020997375,0.4895833333333333,381,384,24
All,All,32,0.5776315789473684,0.5716145833333334,760,768,24
epee,All,8,0.3125,0.3125,64,64,8
epee,All,16,0.4330708661417323,0.4296875,127,128,8
epee,All,32,0.5708661417322834,0.56640625,254,256,8
epee,M,8,0.3125,0.3125,32,32,4
epee,M,16,0.40625,0.40625,64,64,4
epee,M,32,0.5275590551181102,0.5234375,127,128,4
epee,F,8,0.3125,0.3125,32,32,4
epee,F,16,0.4603174603174603,0.453125,63,64,4
epee,F,32,0.6141732283464567,0.609375,127,128,4
foil,All,8,0.5238095238095238,0.515625,63,64,8
foil,All,16,0.5317460317460317,0.5234375,126,128,8
foil,All,32,0.5849802371541502,0.578125,253,256,8
foil,M,8,0.4375,0.4375,32,32,4
foil,M,16,0.5238095238095238,0.515625,63,64,4
foil,M,32,0.5590551181102362,0.5546875,127,128,4
foil,F,8,0.6129032258064516,0.59375,31,32,4
foil,F,16,0.5396825396825397,0.53125,63,64,4
foil,F,32,0.6111111111111112,0.6015625,126,128,4
saber,All,8,0.46875,0.46875,64,64,8
saber,All,16,0.515625,0.515625,128,128,8
saber,All,32,0.5770750988142292,0.5703125,253,256,8
saber,M,8,0.4375,0.4375,32,32,4
saber,M,16,0.515625,0.515625,64,64,4
saber,M,32,0.5634920634920635,0.5546875,126,128,4
saber,F,8,0.5,0.5,32,32,4
saber,F,16,0.515625,0.515625,64,64,4
saber,F,32,0.5905511811023622,0.5859375,127,128,4
All,M,8,0.3958333333333333,0.3958333333333333,96,96,12
All,M,16,0.4816753926701571,0.4791666666666667,191,192,12
All,M,32,0.55,0.5442708333333334,380,384,12
All,F,8,0.47368421052631576,0.46875,95,96,12
All,F,16,0.5052631578947369,0.5,190,192,12
All,F,32,0.6052631578947368,0.5989583333333334,380,384,12
