Rating Win% Cross-Tab (row=my rating, col=opponent rating)
Cell = win% (N), * = N < 20

ALL WEAPONS
rating,A,B,C,D,E,U
A,50% (52),60% (20),74% (54),87% (31),81% (36),85% (66)
B,40% (20),50% (8)*,62% (13)*,65% (17)*,100% (6)*,88% (42)
C,26% (54),38% (13)*,50% (42),45% (42),69% (58),85% (88)
D,13% (31),35% (17)*,55% (42),50% (46),70% (53),83% (144)
E,19% (36),0% (6)*,31% (58),30% (53),50% (48),72% (165)
U,15% (66),12% (42),15% (88),17% (144),28% (165),50% (624)


EPEE
rating,A,B,C,D,E,U
A,50% (38),67% (15)*,89% (28),95% (20),90% (20),80% (40)
B,33% (15)*,50% (6)*,83% (6)*,67% (9)*,100% (2)*,84% (19)*
C,11% (28),17% (6)*,50% (12)*,33% (9)*,65% (20),67% (24)
D,5% (20),33% (9)*,67% (9)*,50% (4)*,50% (4)*,63% (19)*
E,10% (20),0% (2)*,35% (20),50% (4)*,50% (14)*,71% (34)
U,20% (40),16% (19)*,33% (24),37% (19)*,29% (34),50% (42)


FOIL
rating,A,B,C,D,E,U
A,50% (10)*,50% (2)*,50% (12)*,100% (6)*,71% (7)*,89% (19)*
B,50% (2)*,-,0% (2)*,33% (3)*,100% (1)*,88% (17)*
C,50% (12)*,100% (2)*,50% (8)*,70% (10)*,83% (12)*,100% (20)
D,0% (6)*,67% (3)*,30% (10)*,50% (20),90% (10)*,88% (66)
E,29% (7)*,0% (1)*,17% (12)*,10% (10)*,50% (16)*,69% (64)
U,11% (19)*,12% (17)*,0% (20),12% (66),31% (64),50% (338)


SABER
rating,A,B,C,D,E,U
A,50% (4)*,33% (3)*,64% (14)*,40% (5)*,67% (9)*,100% (7)*
B,67% (3)*,50% (2)*,60% (5)*,80% (5)*,100% (3)*,100% (6)*
C,36% (14)*,40% (5)*,50% (22),39% (23),65% (26),89% (44)
D,60% (5)*,20% (5)*,61% (23),50% (22),67% (39),83% (59)
E,33% (9)*,0% (3)*,35% (26),33% (39),50% (18)*,76% (67)
U,0% (7)*,0% (6)*,11% (44),17% (59),24% (67),50% (244)

